,appid,playtime_forever,playtime_windows_forever,playtime_mac_forever,playtime_linux_forever,rtime_last_played,playtime_2weeks,player
108,418180,20,0,0,0,1523278200,,1
109,418240,1488,1138,0,0,1633587918,,1
110,420290,13,0,0,0,1548725577,,1
111,208650,1730,0,0,0,1530206892,,1
112,368500,2612,0,0,0,1531662242,,1
113,243470,49,0,0,0,1560538632,,1
114,239140,47,0,0,0,1530808107,,1
115,431960,7122,3729,0,0,1665341656,,1
116,391220,1264,0,0,0,1539238635,,1
117,434650,342,342,0,0,1580450130,,1
118,268500,1685,837,0,0,1584592004,,1
119,374320,8900,467,0,0,1579328329,,1
120,365590,0,0,0,0,0,,1
121,524440,0,0,0,0,0,,1
122,447820,58,0,0,0,1501656870,,1
123,275850,484,252,0,0,1651807352,,1
124,456670,294,160,0,0,1657485649,,1
125,466560,124,124,0,0,1576238291,,1
126,377160,462,0,0,0,1536957304,,1
127,379720,117,0,0,0,1513142156,,1
128,477160,491,170,0,0,1580128750,,1
129,480490,178,0,0,0,1563597922,,1
130,364360,504,0,0,0,1547423300,,1
131,403640,147,147,0,0,1638335891,,1
132,495420,434,434,0,0,1653488028,,1
133,502520,94,0,0,0,1521399748,,1
134,503300,81,0,0,0,1523278198,,1
135,518790,44,0,0,0,1550291288,,1
136,360430,241,0,0,0,1544663976,,1
137,312660,1559,0,0,0,1528136008,,1
138,523650,0,0,0,0,0,,1
139,292030,1903,124,0,0,1579685402,,1
140,527230,1141,1141,0,0,1615351214,,1
141,530700,0,0,0,0,0,,1
142,535930,585,424,0,0,1662682919,,1
143,493340,422,205,0,0,1606517277,,1
144,552990,12067,109,0,0,1579059680,,1
145,447040,6457,0,0,0,1534393111,,1
146,562590,0,0,0,0,0,,1
147,460920,493,0,0,0,1539312654,,1
148,578080,22070,4069,0,0,1659576113,,1
149,582010,22304,11214,0,0,1595282785,,1
150,236870,547,0,0,0,1540072889,,1
151,460930,1706,0,0,0,1545437431,,1
152,601840,253,253,0,0,1592377757,,1
153,610370,1421,1421,0,0,1661356973,,1
154,612880,31,31,0,0,1596858012,,1
155,628070,521,1,0,0,1571717080,,1
156,418460,7,0,0,0,1542334325,,1
157,632360,1447,1447,0,0,1649873855,,1
158,632470,222,222,0,0,1606517267,,1
159,392110,1173,854,0,0,1643346663,,1
160,644560,312,36,0,0,1601990657,,1
161,645630,0,0,0,0,0,,1
162,646570,10776,7290,56,0,1658620083,,1
163,648800,216,216,0,0,1660539933,,1
164,493900,663,78,0,0,1604390339,,1
165,673750,36,36,0,0,1593531969,,1
166,323580,152,0,0,0,1539105570,,1
167,690510,0,0,0,0,0,,1
168,692890,17,17,0,0,1615283200,,1
